lighting_reading,power_reading,water_reading,gas_reading,lighting_reading_before_change,power_reading_before_change,water_reading_before_change,gas_reading_before_change,floor_id,reading_date_id,comment
144020,82838,894,0,0,0,0,0,2,10,
131323,57021,1059,0,0,0,0,0,3,10,
155026,64792,1108,0,0,0,0,0,4,10,
180156,70877,1113,0,0,0,0,0,5,10,
146220,58244,1070,0,0,0,0,0,6,10,
169199,71455,1283,0,0,0,0,0,7,10,
130190,52165,798,0,0,0,0,0,8,10,
138363,59100,1161,0,0,0,0,0,9,10,
151353,60099,1278,0,0,0,0,0,10,10,
74270,42059,958,0,0,0,0,0,11,10,
17946,71212,724,533,0,0,0,0,12,10,
86123,46373,588,968,0,0,0,0,13,10,
87329,41036,1155,2255,0,0,0,0,14,10,
38134,17192,499,804,0,0,0,0,15,10,
42761,25215,159,1158,0,0,0,0,16,10,
32127,23679,305,627,0,0,0,0,17,10,
50168,33862,145,932,0,0,0,0,18,10,
45031,31121,381,26,0,0,0,0,19,10,
21801,61011,565,924,0,0,0,0,20,10,
41307,24124,216,1670,0,0,0,0,21,10,
0,0,2720,0,0,0,0,0,1,11,
144927,82969,901,0,0,0,0,0,2,11,
131885,57103,1063,0,0,0,0,0,3,11,
156138,64966,1117,0,0,0,0,0,4,11,
181099,71031,1120,0,0,0,0,0,5,11,
147135,58401,1076,0,0,0,0,0,6,11,
170539,71739,1294,0,0,0,0,0,7,11,
131506,52301,803,0,0,0,0,0,8,11,
139244,59339,1166,0,0,0,0,0,9,11,
152236,60180,1287,0,0,0,0,0,10,11,
74579,42125,965,0,0,0,0,0,11,11,
18822,71488,730,534,0,0,0,0,12,11,
86596,46442,591,968,0,0,0,0,13,11,
88091,41107,1175,2266,0,0,0,0,14,11,
38320,17280,503,804,0,0,0,0,15,11,
43213,25320,161,1158,0,0,0,0,16,11,
32434,23805,308,627,0,0,0,0,17,11,
50169,33862,145,932,0,0,0,0,18,11,
45474,31326,388,26,0,0,0,0,19,11,
22555,61133,571,925,0,0,0,0,20,11,
41494,24176,218,1670,0,0,0,0,21,11,
0,0,2774,0,0,0,0,0,1,12,
145880,83410,908,0,0,0,0,0,2,12,
132569,57414,1067,0,0,0,0,0,3,12,
157276,65531,1126,0,0,0,0,0,4,12,
182142,71454,1126,0,0,0,0,0,5,12,
147982,58674,1105,0,0,0,0,0,6,12,
171965,72458,1306,0,0,0,0,0,7,12,
132640,52703,808,0,0,0,0,0,8,12,
140205,59936,1172,0,0,0,0,0,9,12,
153232,60541,1296,0,0,0,0,0,10,12,
74884,42278,974,0,0,0,0,0,11,12,
369,127,739,534,19479,71826,0,0,12,12,
200,143,594,968,86919,46564,0,0,13,12,
338,162,1196,2274,88600,41203,0,0,14,12,
98,139,510,804,38442,17375,0,0,15,12,
176,137,162,1158,43517,25444,0,0,16,12,
131,192,311,627,32659,23974,0,0,17,12,
25,14,145,932,50157,33851,0,0,18,12,
157,165,393,26,45815,31537,0,0,19,12,
